# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
1.46749 1 0.00353412 1.23645 1.13787 0.0538606 0.141993 0.0419655 0.134087 0 0 0 1 1 1860 20.3191
1.47538 1 0.00355943 1.23637 1.13783 0.0543219 0.141126 0.0424059 0.133181 0 0 0 1 1 1870 20.4282
1.48327 1 0.00358468 1.23627 1.13779 0.0548037 0.140273 0.0428666 0.132288 0 0 0 1 1 1880 20.5375
1.49116 1 0.00360989 1.23617 1.13775 0.055305 0.139433 0.0433465 0.131409 0 0 0 1 1 1890 20.6467
1.49905 1 0.00363504 1.23607 1.13772 0.0558247 0.138606 0.0438446 0.130543 0 0 0 1 1 1900 20.7559
1.50694 1 0.00366014 1.23595 1.1377 0.0563618 0.137793 0.0443598 0.129691 0 0 0 1 1 1910 20.8651
1.51483 1 0.00368519 1.23583 1.13768 0.0569153 0.136993 0.0448911 0.128853 0 0 0 1 1 1920 20.9744
1.52272 1 0.00371018 1.23571 1.13767 0.0574841 0.136206 0.0454375 0.128028 0 0 0 1 1 1930 21.0835
1.53061 1 0.00373511 1.23558 1.13767 0.0580673 0.135433 0.045998 0.127216 0 0 0 1 1 1940 21.1927
1.5385 1 0.00375999 1.23544 1.13767 0.058664 0.134673 0.0465718 0.126419 0 0 0 1 1 1950 21.3022
1.54639 1 0.0037848 1.2353 1.13768 0.0592732 0.133927 0.0471578 0.125635 0 0 0 1 1 1960 21.4117
1.55428 1 0.00380955 1.23515 1.1377 0.0598942 0.133194 0.0477553 0.124864 0 0 0 1 1 1970 21.5213
